Wavelength [nm],Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
217.237,0.01561786,0.05509134,-0.04084101,0.076133,0.00942953,0.0006310133,0.07184158,-0.01105216,-0.8618754,0.05648668,-0.01043217,0.01690252,0.1480315,0.0008593408,0.05912026,-0.07192125,-0.6998659,0.09919856,0.05649017,-0.1627894,-0.005864671,-0.06047649,-0.1808484,-0.06443635,0.01605454,0.21131,0.1513395
217.675,-0.07611742,0.106561,-0.07027859,0.1247733,-0.03579923,-0.04747609,0.01091776,-0.0019322,-0.7932532,0.009104609,-0.04217815,0.01279434,0.09708253,-0.02354905,0.08920125,-0.1520023,-0.7077454,0.02871306,-0.1069333,-0.2507023,-0.08192635,-0.1350756,-0.3385885,-0.11423,-0.1108581,-0.05446453,-0.05625189
218.113,-0.1169986,0.157134,-0.03867394,0.1394869,-0.07686551,-0.06749337,-0.06009493,0.02936713,-0.4141936,0.005571177,-0.009011563,0.03722633,0.07644487,-0.005995214,0.1182872,-0.197543,-0.3872434,-0.006880269,-0.2259954,-0.2977403,-0.2571642,-0.1674951,-0.4453093,-0.1771757,-0.2325194,-0.2299454,-0.2355838
218.551,-0.008267992,0.09404166,0.04915223,0.07728546,-0.00593848,-0.1429231,-0.02906018,-0.01314892,-0.1673095,0.0661124,0.003996763,0.06840589,0.03383384,0.09809269,0.04665008,-0.1144296,-0.09477272,0.05543871,-0.1974516,-0.2264751,-0.2262279,-0.09437274,-0.4238106,-0.1216318,-0.2034776,-0.0971011,-0.2094065
218.989,0.05763994,-0.09264018,0.1021576,-0.06953593,0.06203239,-0.2898106,0.05147343,-0.1288442,-0.05929208,0.1296245,-0.0694592,0.1090609,-0.132036,0.1714766,-0.1489088,0.1846733,0.0637374,0.1722188,-0.07965033,-0.1250077,-0.08814668,0.09975919,-0.2851777,0.0331975,-0.01049493,0.1882397,-0.05160952
219.427,0.05779324,-0.2573701,0.06592916,-0.2274521,0.1098611,-0.3635767,0.1634894,-0.2263193,-0.01660041,0.1633788,-0.1510262,0.149944,-0.2522798,0.1496714,-0.2952652,0.4895367,0.1652749,0.219864,0.0009994275,0.0006189686,-0.06135111,0.1987315,-0.1798336,0.04760108,0.03683275,0.3211395,0.08795316
219.865,0.04349238,-0.275002,0.003672723,-0.2727825,0.1351513,-0.2964694,0.2564622,-0.2027612,0.005830578,0.1903973,-0.1354179,0.1720795,-0.235339,0.06971335,-0.2816967,0.4006374,0.2087679,0.1196142,-0.07158518,0.04562075,-0.2189626,0.1071415,-0.2683748,-0.1292577,-0.1395213,0.16079,0.1035466
220.303,0.0846255,-0.139544,0.001648066,-0.1856984,0.1254202,-0.1717675,0.1819679,-0.06169183,0.04694142,0.243339,-0.0134317,0.1366654,-0.1248922,0.004859385,-0.1262786,6,0.1134856,6,6,6,6,6,6,6,6,6,6
220.740,0.1088327,0.02826899,0.02779954,-0.0736456,0.08211493,-0.1360407,0.05541049,0.03633295,0.02730717,0.2273719,0.0560823,0.0723651,-0.07963621,-0.001675286,-0.0322286,6,-0.2118729,6,6,6,6,6,6,6,6,6,6
221.178,0.08657171,0.04853598,0.0691203,-0.006712112,0.03411577,-0.105168,0.03976963,0.04262564,-0.09529755,0.1257605,0.0602857,0.002507145,-0.05779336,0.02273521,-0.02238453,6,-0.4053871,6,6,6,6,6,6,6,6,6,6
221.616,0.1267939,0.02460411,0.07420943,-0.003804397,-0.003533461,-0.09278396,0.04651678,0.05144327,-0.3286341,0.05339611,0.03810296,-0.02895523,-0.03430282,0.05636712,-0.03441014,6,-0.5709362,6,6,1.477514,6,6,6,6,6,6,6
